"NOTA_MT","AFAZERES_DOM","REGIAO","SEXO","RACA_COR","IDADE"
249.177417,"Menos de 1 hora","Sudeste","Masculino","Parda","Não tem defasagem"
201.410548,"Mais de 2 horas, até 3 horas","Nordeste","Masculino","Branca","Não tem defasagem"
209.607549,"Menos de 1 hora","Nordeste","Feminino","Branca","Não tem defasagem"
240.225702,"Menos de 1 hora","Sudeste","Feminino","Branca","Não tem defasagem"
194.126492,"Entre 1 e 2 horas","Centro-Oeste","Feminino","Parda","Não tem defasagem"
172.460781,"Entre 1 e 2 horas","Sul","Feminino","Parda","Tem defasagem"
153.254836,"Mais de 3 horas","Sudeste","Masculino","Preta","Tem defasagem"
191.487033,"Entre 1 e 2 horas","Nordeste","Feminino","Parda","Não tem defasagem"
222.749959,"Entre 1 e 2 horas","Sudeste","Masculino","Amarela","Não tem defasagem"
210.694096,"Mais de 3 horas","Norte","Masculino","Parda","Não tem defasagem"
188.236615,"Menos de 1 hora","Nordeste","Feminino","Branca","Não tem defasagem"
179.227498,"Não faço trabalhos domésticos","Sudeste","Masculino","Preta","Tem defasagem"
196.375655,"Mais de 3 horas","Centro-Oeste","Feminino","Indígena","Não tem defasagem"
218.234195,"Não faço trabalhos domésticos","Nordeste","Feminino","Parda","Não tem defasagem"
146.505279,"Menos de 1 hora","Norte","Feminino","Parda","Não tem defasagem"
276.779061,"Menos de 1 hora","Sul","Feminino","Branca","Não tem defasagem"
126.020629,"Não faço trabalhos domésticos","Norte","Masculino","Não quero declarar","Tem defasagem"
295.743886,"Menos de 1 hora","Sul","Masculino","Branca","Não tem defasagem"
297.08452,"Entre 1 e 2 horas","Sudeste","Masculino","Parda","Não tem defasagem"
276.407377,"Mais de 2 horas, até 3 horas","Sul","Feminino","Branca","Não tem defasagem"
192.600743,"Menos de 1 hora","Sudeste","Masculino","Não quero declarar","Não tem defasagem"
186.350975,"Menos de 1 hora","Sudeste","Feminino","Branca","Não tem defasagem"
219.646035,"Não faço trabalhos domésticos","Nordeste","Masculino","Parda","Tem defasagem"
153.497912,"Menos de 1 hora","Sul","Feminino","Parda","Tem defasagem"
218.098768,"Entre 1 e 2 horas","Nordeste","Masculino","Branca","Tem defasagem"
198.022355,"Entre 1 e 2 horas","Sudeste","Masculino","Preta","Não tem defasagem"
259.251562,"Entre 1 e 2 horas","Sul","Masculino","Parda","Não tem defasagem"
281.451044,"Não faço trabalhos domésticos","Norte","Masculino","Não quero declarar","Não tem defasagem"
239.767329,"Menos de 1 hora","Sudeste","Feminino","Branca","Não tem defasagem"
271.843097,"Entre 1 e 2 horas","Sul","Feminino","Branca","Não tem defasagem"
175.621045,"Não faço trabalhos domésticos","Nordeste","Masculino","Não quero declarar","Não tem defasagem"
310.991649,"Mais de 3 horas","Sul","Masculino","Branca","Não tem defasagem"
219.176148,"Entre 1 e 2 horas","Sudeste","Feminino","Branca","Não tem defasagem"
166.955052,"Mais de 3 horas","Sudeste","Feminino","Preta","Não tem defasagem"
259.844356,"Mais de 3 horas","Centro-Oeste","Feminino","Branca","Não tem defasagem"
219.795323,"Mais de 2 horas, até 3 horas","Centro-Oeste","Masculino","Não quero declarar","Não tem defasagem"
203.837784,"Entre 1 e 2 horas","Sudeste","Masculino","Preta","Não tem defasagem"
236.606562,"Menos de 1 hora","Sul","Masculino","Parda","Não tem defasagem"
183.839174,"Menos de 1 hora","Sudeste","Masculino","Branca","Não tem defasagem"
205.737732,"Mais de 3 horas","Sul","Feminino","Parda","Não tem defasagem"
272.530126,"Não faço trabalhos domésticos","Sudeste","Masculino","Parda","Não tem defasagem"
153.95444,"Menos de 1 hora","Centro-Oeste","Feminino","Não quero declarar","Não tem defasagem"
249.77893,"Mais de 2 horas, até 3 horas","Nordeste","Masculino","Branca","Não tem defasagem"
