ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,31,3143104,2,2,1,220.970787,272.854749,A,C,C,A,A,B,A,A,A,A
2017,3,35,3523909,2,3,1,208.235185,195.837133,B,C,C,A,A,A,A,D,A,A
2017,2,24,2408102,1,2,1,200.192766,231.635498,B,F,E,B,A,B,B,D,A,B
2017,2,23,2304400,1,3,1,181.63093,205.150024,A,A,D,B,B,B,B,D,E,B
2017,2,25,2512507,2,3,2,184.607404,276.775875,B,A,E,A,A,A,B,A,A,B
2017,2,29,2919157,2,3,2,161.017198,126.783056,A,C,C,B,A,A,A,A,D,A
2017,2,23,2304400,1,3,1,222.202784,255.812116,A,A,D,B,A, ,B, ,B,B
2017,3,31,3106200,1,3,1,286.855672,326.496907,B,C,D,C,A,B,A,A,E,A
2017,2,26,2616001,2,3,1,286.525222,261.902088,A,F,D,B,A,B,A,D,A,C
2017,3,31,3143906,2,3,1,116.414382,154.62962,B,F,E,B,A,B,B,A,E,B
2017,3,32,3202454,2,3,1,168.670051,223.081345,A,A,F,A,A, ,A,B,A,C
2017,3,32,3201605,2,3,2,259.71547,269.599915,B,C,E,B,A,A,A,D,A,B
2017,2,25,2504900,2,3,1,134.812095,114.678399,B,C,C,A,B,B,B,B,C,B
2017,2,21,2108207,2,3,1,202.391597,208.282677,A,F,D,A,C,B,A, ,A,C
2017,5,51,5101407,2,3,2,234.729032,225.649486,A,C,D,B,A,A,B,C,A,B
2017,5,52,5221403,2,2,1,191.739791,228.551471,B,C,C,C,A,A,A,A,E,C
2017,2,25,2506905,2,2,1,214.214577,231.053603,B,C,D,B,B,C,A,E,A,B
2017,3,33,3304557,1,3,1,177.183849,258.059602,A,F,D,A,A,B,A,C,B,B
2017,4,41,4106902,1,3,1,272.057705,193.482501,B,C,C,C,A,A,B,B,A,B
2017,3,35,3549102,2,3,1,228.742422,172.054109,A,C,D,C,A,A,B,A,A,B
2017,3,35,3550308,1,3,1,143.891316,154.942896,B,F,C,A,A,A,A,A,A,A
2017,3,31,3103504,2,2,1,219.145378,237.656387,B,A,C,B,A,A,B,B,A,B
2017,2,29,2920452,2,3,1,223.208955,263.569915,A,B,D,A,A,A,C,D,A,B
2017,3,35,3550308,1,3,1,222.890845,237.443717,A,C,C,A,A,A,A,B,A,A
2017,1,15,1506708,2,3,1,175.411385,210.887819,B,C,E,C,A,A,A,C,A,B
2017,1,16,1600600,2,3,1,195.488894,234.193466,A, ,D,B,A,A,A,A,A,B
2017,3,35,3510302,2,3,1,273.885538,315.827062,B,C,C,B,A,A,A,C,B,A
2017,2,23,2310209,2,3,1,291.441148,315.261655,B,C,C,A,A,B,A,A,E,A
2017,5,53,5300108,1,2,1,216.984286,259.780136,B,C,D,A,A,B,C,A,A,C
2017,5,50,5006275,2,3,1,241.92136,316.504756,A,A,D,C,A,A,A,B,A,C
2017,4,42,4208906,2,2,1,262.329044,226.133346,A,C,C,B,A,B,A,D,B,B
2017,3,35,3553005,2,3,1,210.8081,258.212076,A,C,D,A,A,A,B,B,A,B
2017,5,52,5201405,2,2,1,212.373082,245.405188,A,C,D,B,A,A,A,D,D,A
2017,3,31,3110202,2,3,1,204.171939,334.643214,A,A,D,B,A,B,A,B,B,A
2017,2,23,2314102,2,3,1,157.119452,192.646855,B,A,C,B,A,A,A, ,A,A
2017,2,23,2300309,2,3,1,239.974471,198.700664,A,B,C,A,A,A,A,C,A,A
2017,3,31,3106200,1,3,1,255.752163,297.08452,A,C,D,A,A,A,B,D,B,C
2017,5,51,5103403,1,2,1,210.158329,194.219665,A,C,D,B,B,A,A,E,B,C
2017,2,29,2929305,2,3,1,239.341007,257.515826,B,C,C,B,A,C,C,C,A,B
2017,2,29,2917607,2,3,1,173.265499,155.481531,A,C,D,C,A,B,A,A,E,C
2017,3,35,3548708,2,3,1,323.300317,238.50718,B,F,D,B,A,A,A,D,E,B
2017,4,42,4209300,2,2,1,285.560427,296.198347,B,A,D,B,B,B,A,C,A,C
2017,3,31,3170206,2,3,1,214.300799,187.660253,B,C,C,A,B,B,A,A,B,B
2017,4,41,4106902,1,3,1,227.722038,258.596001,A,C,B,C,A,A,A,D,A,B
2017,3,35,3528403,2,3,1,165.130523,180.103554,A,A,D,C,A,A,A,A,B,A
2017,3,31,3138203,2,3,1,209.584862,150.229832,B,B,D,A,A, ,A, ,D,A
2017,2,26,2608750,2,3,1,321.927005,257.399514,B,C, ,D,A,C,A,B,A,A
2017,3,35,3502804,2,3,1,231.897068,215.525149,A,C,D,A,A,A,A,D,E,B
